Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Enterprise IT (Cyber Security Intelligence & Threat Response)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika, Sistem Informasi, Manajemen, Matematika, Informasi, Manajemen, Bisnis, Ilmu Komunikasi, Statistika, Data Science","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c0d9cd9d-5a98-4cdb-91b7-bf05cc48be20"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Quality Management System)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Industri, Statistika, Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=4ff3f08a-0c94-4ead-bf09-bf5cac005c3b"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi SDM (Industrial Relation Policy)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Ilmu Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=1f927cd6-8863-4591-b938-bfa4e04bf5b8"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Asset Operation)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Sipil","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=6adbebab-5db9-4d2b-a8b6-c0dc459dcc9e"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Risk Profiling & Monitoring)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Teknik Industri, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=b60d5cba-1405-4d0d-9dbd-468c5937cea8"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Asset Management (Asset Planning, Governance, and Risk Management)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Manajemen, Ekonomi, Teknik Industri, Ilmu Administrasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=c114784a-91d9-44e6-87b7-abc373cfa14c"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services (Service Performance & Governance)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Akuntansi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=88d2e52b-ad21-4a9c-aee1-a7f013df77d7"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Integrated Quantity Assurance Upstream)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Perminyakan, Teknologi Geologi Pertambangan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ecf73dee-c70c-4694-8231-a548e02ab3ee"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (Infrastructure Planning & System Management)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Lingkungan, Teknik Elektro, Teknik Industri, Teknik Mesin, Teknik Kimia, Teknik Fisika, Teknik Sipil, Teknik Geologi, Teknik Geofisika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=7ec4139c-ce04-4651-ac42-9ebf8003d980"
