Judul Lowongan,Perusahaan,Kota,Industri,Sektor,Pendidikan,Jurusan,Link Detail,Kuota,Pelamar
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Enterprise IT (Enterprise Data Management)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Elektro, Teknik Informatika, Teknik Komputer, Ilmu Komputer, Sistem Informasi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=f0db07f3-c0a9-4aba-bf66-34a2851ea77b","4","112"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Shared Services HC (Payroll Services)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Teknik Informatika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=28dfc241-5f9f-4744-bccd-485bf04b91f5","1","11"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Legal Counsel (PBO)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hukum","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=121ca21c-22b4-4e92-9eda-44a2777f8d61","2","64"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Pertamina Digital Hub (Digital Technical Orchestration)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Informatika, Sistem Informasi, Ilmu Komputer Geomatika, Geografi, Sistem Informasi, Arsitektur, Sosiologi","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=8798f63c-9e25-4018-88c7-3d2bf7cbe584","2","31"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Manajemen Risiko (Integrated Risk Reporting)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Manajemen, Teknik Industri, Statistika","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=bfd70103-85a1-4ec4-a1c9-4ca2d447bd34","1","14"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Technology Innovation and Implementation (Petrochemical & Non Fuel Research)","PT Pertamina","Kota Administrasi Jakarta Barat","Oil & Energy","Energy","S1","Kimia, Teknik Kimia","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=69ebd491-021b-447b-b5dc-4cfbceb49130","1","46"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Transformasi Keberlanjutan Bisnis (Sustainability Rating & Disclosure)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Bisnis Management, Teknik Kimia, Teknik Industri, Teknik Lingkungan","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=0772ae74-3216-4216-ba2b-493a760e4691","1","14"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi HSSE (HSSE Program - Security)","PT Pertamina","Kota Administrasi Jakarta Selatan","Oil & Energy","Energy","S1","Hubungan Internasional","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=ae6d6798-227d-43a0-bf61-49f4d82307cf","1","12"
"INTERNSHIP 2026 - PT Pertamina (Persero) - Fungsi Logistik & Infrastruktur (PMO Gas, Power & NRE)","PT Pertamina","Kota Administrasi Jakarta Pusat","Oil & Energy","Energy","S1","Teknik Industri, Teknik Sipil, Teknik Mesin, Teknik Elektro, Teknik Kimia, Manajemen","https://recruitment.pertamina.com/object/widget/845abfe1-3f9d-4b3a-bda5-0a9f2f9083c2/?id=bfc4ee68-d53a-4649-b445-4a468502fbca","1","45"
